rateMasterId,customerName,article,description,rate,stationName,ddCharges,customer,station,createdBy
24,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,PHALTAN,,UNKNOWN,UNKNOWN,System
25,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,PHALTAN,,UNKNOWN,UNKNOWN,System
26,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,BARAMATI,,UNKNOWN,UNKNOWN,System
27,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,LONI,,UNKNOWN,UNKNOWN,System
28,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,LONAND,,UNKNOWN,UNKNOWN,System
29,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,DAUND,,UNKNOWN,UNKNOWN,System
30,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,SASWAD,,UNKNOWN,UNKNOWN,System
31,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,JEJURI,,UNKNOWN,UNKNOWN,System
32,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,MALEGAON,,UNKNOWN,UNKNOWN,System
33,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,SOMESHWAR NAGAR,,UNKNOWN,UNKNOWN,System
34,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,INDAPUR,,UNKNOWN,UNKNOWN,System
35,HAWKINS COOKERS LTD,COOKER BOX,,60,PHALTAN,,UNKNOWN,UNKNOWN,System
36,HAWKINS COOKERS LTD,COOKER BOX,,60,BARAMATI,,UNKNOWN,UNKNOWN,System
37,HAWKINS COOKERS LTD,COOKER BOX,,70,INDAPUR,,UNKNOWN,UNKNOWN,System
38,HAWKINS COOKERS LTD,COOKER BOX,,60,KURKUMBH,500,UNKNOWN,UNKNOWN,System
39,SAR DISTRIBUTION HOUSE PVT LTD,9.00-16 TYRE,,100,YAVAT,,UNKNOWN,UNKNOWN,System
40,SAR DISTRIBUTION HOUSE PVT LTD,7.50-16 TYRE,,100,BARAMATI,,UNKNOWN,UNKNOWN,System
41,SAR DISTRIBUTION HOUSE PVT LTD,TUBE BAG,,100,SANGOLA,,UNKNOWN,UNKNOWN,System
42,SAR DISTRIBUTION HOUSE PVT LTD,TUBE BUCKET,,100,SANGOLA,,UNKNOWN,UNKNOWN,System
43,SAR DISTRIBUTION HOUSE PVT LTD,7.50-16 TYRE,,100,NIRA,,UNKNOWN,UNKNOWN,System
44,SAR DISTRIBUTION HOUSE PVT LTD,7.50-16 TYRE,,100,PATAS,,UNKNOWN,UNKNOWN,System
45,SAR DISTRIBUTION HOUSE PVT LTD,6.00-16 TYRE,,100,PATAS,,UNKNOWN,UNKNOWN,System
46,SAR DISTRIBUTION HOUSE PVT LTD,6.00-16 TYRE,,100,WAGHOLI,,UNKNOWN,UNKNOWN,System
47,SAR DISTRIBUTION HOUSE PVT LTD,13.6-28 TYRE,,325,WAGHOLI,,UNKNOWN,UNKNOWN,System
48,SAR DISTRIBUTION HOUSE PVT LTD,TUBE BAG,,100,TEMBHURNI,,UNKNOWN,UNKNOWN,System
49,SAR DISTRIBUTION HOUSE PVT LTD,TUBE BOX,,100,TEMBHURNI,,UNKNOWN,UNKNOWN,System
50,SAR DISTRIBUTION HOUSE PVT LTD,7.50-16 TYRE,,100,PHALTAN,,UNKNOWN,UNKNOWN,System
51,SAR DISTRIBUTION HOUSE PVT LTD,6.00-16 TYRE,,100,PHALTAN,,UNKNOWN,UNKNOWN,System
52,SAR DISTRIBUTION HOUSE PVT LTD,6.00-16 TYRE,,100,NIRA,,UNKNOWN,UNKNOWN,System
53,SAR DISTRIBUTION HOUSE PVT LTD,6.00-16 TYRE,,100,NIRA,,UNKNOWN,UNKNOWN,System
54,SAR DISTRIBUTION HOUSE PVT LTD,7.50-16 TYRE,,100,YAVAT,,UNKNOWN,UNKNOWN,System
55,SAR DISTRIBUTION HOUSE PVT LTD,7.50-16 TYRE,,100,WAKHARI,,UNKNOWN,UNKNOWN,System
56,SAR DISTRIBUTION HOUSE PVT LTD,TUBE BAG,,100,WAKHARI,,UNKNOWN,UNKNOWN,System
57,SAR DISTRIBUTION HOUSE PVT LTD,13.6-28 TYRE,,325,NIRA,,UNKNOWN,UNKNOWN,System
58,SAR DISTRIBUTION HOUSE PVT LTD,STAND,,350,NIRA,,UNKNOWN,UNKNOWN,System
59,SAR DISTRIBUTION HOUSE PVT LTD,PARSAL,,100,NIRA,,UNKNOWN,UNKNOWN,System
60,SAR DISTRIBUTION HOUSE PVT LTD,7.50-16 TYRE,,100,YAVAT,,UNKNOWN,UNKNOWN,System
61,SAR DISTRIBUTION HOUSE PVT LTD,TUBE BOX,,100,PANDHARPUR,,UNKNOWN,UNKNOWN,System
62,SAR DISTRIBUTION HOUSE PVT LTD,8.00-18 TYRE,,100,PHALTAN,,UNKNOWN,UNKNOWN,System
63,SAR DISTRIBUTION HOUSE PVT LTD,6.00-16 TYRE,,100,PHALTAN,,UNKNOWN,UNKNOWN,System
64,SAR DISTRIBUTION HOUSE PVT LTD,PARSAL,,100,PHALTAN,,UNKNOWN,UNKNOWN,System
65,SAR DISTRIBUTION HOUSE PVT LTD,5.20-14 TYRE,,100,PHALTAN,,UNKNOWN,UNKNOWN,System
66,ANUPAM LOGISTIC,MEDICINE BOX,,15,GULUNCHE,300,UNKNOWN,UNKNOWN,System
67,ANUPAM LOGISTIC,MEDICINE BOX,,15,MORGOAN,300,UNKNOWN,UNKNOWN,System
68,ANUPAM LOGISTIC,MEDICINE BOX,,15,KEDGAON,,UNKNOWN,UNKNOWN,System
69,ANUPAM LOGISTIC,MEDICINE BOX,,15,KEDGAON,,UNKNOWN,UNKNOWN,System
70,ANUPAM LOGISTIC,MEDICINE BOX,,15,PHALTAN,,UNKNOWN,UNKNOWN,System
71,ANUPAM LOGISTIC,MEDICINE BOX,,15,BARAMATI,,UNKNOWN,UNKNOWN,System
72,NULIFE PHARMACEUTICALS PVT. LTD. ,MEDICINE BOX,,45,AKLUJ,,UNKNOWN,UNKNOWN,System
73,NULIFE PHARMACEUTICALS PVT. LTD. ,MEDICINE BOX,,45,KARMALA,,UNKNOWN,UNKNOWN,System
74,NULIFE PHARMACEUTICALS PVT. LTD. ,MEDICINE BOX,,45,KEDGAON,,UNKNOWN,UNKNOWN,System
75,NULIFE PHARMACEUTICALS PVT. LTD. ,MEDICINE BOX,,45,BARAMATI,,UNKNOWN,UNKNOWN,System
76,SHRI SAI ENTERPRISES,MEDICINE BOX,,18,PHALTAN,,UNKNOWN,UNKNOWN,System
77,SHRI SAI ENTERPRISES,MEDICINE BOX,,28,WALCHAND NAGAR,,UNKNOWN,UNKNOWN,System
78,SHRI SAI ENTERPRISES,MEDICINE BOX,,25,KEDGOAN,,UNKNOWN,UNKNOWN,System
79,SHRI SAI ENTERPRISES,MEDCINE BOX,,18,BARAMATI,,UNKNOWN,UNKNOWN,System
80,VARDHAMAN MEDITRADE LLP,MEDICINE BOX,,20,SASWAD,,UNKNOWN,UNKNOWN,System
81,VARDHAMAN MEDITRADE LLP,MEDICINE BOX,,20,BARAMATI,,UNKNOWN,UNKNOWN,System
82,VARDHAMAN MEDITRADE LLP,MEDICINE BOX,,30,PANDHARPUR,,UNKNOWN,UNKNOWN,System
83,VARDHAMAN MEDITRADE LLP,MEDICINE BOX,,30,AKLUJ,,UNKNOWN,UNKNOWN,System
84,FRANCO INDIAN PHARMACEUTICALS PVT LTD,MEDICINE BOX,,22,PANDHARPUR,,UNKNOWN,UNKNOWN,System
85,FRANCO INDIAN PHARMACEUTICALS PVT LTD,MEDICINE BOX,,22,PHALTAN,,UNKNOWN,UNKNOWN,System
86,FRANCO INDIAN PHARMACEUTICALS PVT LTD,MEDICINE BOX,,22,BARAMATI,,UNKNOWN,UNKNOWN,System
87,ARISTO  PHARMACEUTICAIS  P.L,MEDICINE BOX,,17,PANDHARPUR,,UNKNOWN,UNKNOWN,System
88,VANDIT TRADELINK,MEDCINE BOX,,25,PANDHARPUR,,UNKNOWN,UNKNOWN,System
89,ARISTO  PHARMACEUTICAIS  P.L,MEDICINE BOX,,17,PHALTAN,,UNKNOWN,UNKNOWN,System
90,ARISTO  PHARMACEUTICAIS  P.L,MEDCINE BOX,,17,KEDGAON,,UNKNOWN,UNKNOWN,System
91,ARISTO  PHARMACEUTICAIS  P.L,MEDICINE BOX,,17,AKLUJ,,UNKNOWN,UNKNOWN,System
92,ARISTO  PHARMACEUTICAIS  P.L,MEDICINE BOX,,17,BARAMATI,,UNKNOWN,UNKNOWN,System
93,INDOCO REMEDIES LTD,MEDICINE BOX,,11,AKLUJ,,UNKNOWN,UNKNOWN,System
94,INDOCO REMEDIES LTD,MEDICINE BOX,,11,SOLAPUR,,UNKNOWN,UNKNOWN,System
95,INDOCO REMEDIES LTD,MEDICINE BOX,,11,PHALTAN,,UNKNOWN,UNKNOWN,System
96,INDOCO REMEDIES LTD,MEDICINE BOX,,11,KEDGAON,,UNKNOWN,UNKNOWN,System
97,INDOCO REMEDIES LTD,MEDICINE BOX,,11,BARAMATI,,UNKNOWN,UNKNOWN,System
98,INDOCO REMEDIES LTD,MEDICINE BOX,,11,PANDHARPUR,,UNKNOWN,UNKNOWN,System
99,PIDILITE INDUSTRIES LIMITED,BOX,,30,KURKUMBH,,UNKNOWN,UNKNOWN,System
100,PIDILITE INDUSTRIES LIMITED,BOX,,30,KARKAMBH,,UNKNOWN,UNKNOWN,System
101,IPCA  LABORATORIES LIMITED,MEDICINE BOX,,25,AKLUJ,,UNKNOWN,UNKNOWN,System
102,IPCA  LABORATORIES LIMITED,MEDICINE BOX,,20,BARAMATI,,UNKNOWN,UNKNOWN,System
103,IPCA  LABORATORIES LIMITED,MEDICINE BOX,,50,WALCHAND NAGAR,,UNKNOWN,UNKNOWN,System
104,IPCA  LABORATORIES LIMITED,MEDICINE BOX,,30,PANDHARPUR,,UNKNOWN,UNKNOWN,System
105,IPCA  LABORATORIES LIMITED,MEDICINE BOX,,20,PHALTAN,,UNKNOWN,UNKNOWN,System
106,AMBEY PHARMA,MEDICINE BOX,,40,NATEPUTE,,UNKNOWN,UNKNOWN,System
107,AMBEY PHARMA,MEDICINE BOX,,40,INDAPUR,,UNKNOWN,UNKNOWN,System
108,AMBEY PHARMA,MEDICINE BOX,,40,PANDHARPUR,,UNKNOWN,UNKNOWN,System
109,AMBEY PHARMA,MEDICINE BOX,,30,URULI KANCHAN,,UNKNOWN,UNKNOWN,System
110,AMBEY PHARMA,MEDICINE BOX,,30,BARAMATI,,UNKNOWN,UNKNOWN,System
111,AMBEY PHARMA,MEDICINE BOX,,30,PHALTAN,,UNKNOWN,UNKNOWN,System
112,FDC LIMITED,MEDICINE BOX,,14,BARAMATI,,UNKNOWN,UNKNOWN,System
113,FDC LIMITED,MEDICINE BOX,,14,PHALTAN,,UNKNOWN,UNKNOWN,System
114,FDC LIMITED,MEDICINE BOX,,20,SANGOLA,,UNKNOWN,UNKNOWN,System
115,FDC LIMITED,MEDICINE BOX,,16,PANDHARPUR,,UNKNOWN,UNKNOWN,System
116,FDC LIMITED,MEDICINE BOX,,15,AKLUJ,,UNKNOWN,UNKNOWN,System
117,FDC LIMITED,MEDICINE BOX,,15,AKLUJ,,UNKNOWN,UNKNOWN,System
118,WELLNESS INDIA ,MEDICINE BOX,,30,MOHAL,,UNKNOWN,UNKNOWN,System
119,WELLNESS INDIA ,MEDICINE BOX,,20,PHALTAN,,UNKNOWN,UNKNOWN,System
120,WELLNESS INDIA ,MEDICINE BOX,,25,SHRIGONDA,,UNKNOWN,UNKNOWN,System
121,WELLNESS INDIA ,MEDICINE BOX,,20,BARAMATI,,UNKNOWN,UNKNOWN,System
122,WELLNESS INDIA ,MEDICINE BOX,,25,AKLUJ,,UNKNOWN,UNKNOWN,System
123,WELLNESS INDIA ,MEDICINE BOX,,25,VELAPUR,,UNKNOWN,UNKNOWN,System
124,WELLNESS INDIA ,MEDICINE BOX,,30,SANGOLA,,UNKNOWN,UNKNOWN,System
125,WELLNESS INDIA ,MEDICINE BOX,,20,YAVAT,,UNKNOWN,UNKNOWN,System
126,WELLNESS INDIA ,MEDICINE BOX,,25,PANDHARPUR,,UNKNOWN,UNKNOWN,System
127,WELLNESS INDIA ,MEDICINE BOX,,25,CHAUPHULA,,UNKNOWN,UNKNOWN,System
128,WELLNESS INDIA ,MEDICINE BOX,,25,NATEPUTE,,UNKNOWN,UNKNOWN,System
129,WELLNESS INDIA ,MEDICINE BOX,,20,SASWAD,,UNKNOWN,UNKNOWN,System
130,WELLNESS INDIA ,MEDICINE BOX,,20,NIMBUT,,UNKNOWN,UNKNOWN,System
131,WELLNESS INDIA ,MEDICINE BOX,,20,NIMBUT,,UNKNOWN,UNKNOWN,System
132,WELLNESS INDIA ,MEDICINE BOX,,20,NIRA,,UNKNOWN,UNKNOWN,System
133,NAVANDAR LOGISTICS,MEDICINE BOX,,19,AKLUJ,,UNKNOWN,UNKNOWN,System
134,NAVANDAR LOGISTICS,MEDICINE BOX,,19,SANGOLA,,UNKNOWN,UNKNOWN,System
135,NAVANDAR LOGISTICS,MEDCINE BOX,,19,PHALTAN,,UNKNOWN,UNKNOWN,System
136,NAVANDAR LOGISTICS,MEDICINE BOX,,19,SASWAD,,UNKNOWN,UNKNOWN,System
137,MACLEODS PHARMACEUTICALS LTD,MEDICINE BOX,,25,BARAMATI,,UNKNOWN,UNKNOWN,System
138,MACLEODS PHARMACEUTICALS LTD,MEDICINE BOX,,25,PHALTAN,,UNKNOWN,UNKNOWN,System
139,UPL LTD,BAG,,45,MALSHIRASH,,UNKNOWN,UNKNOWN,System
140,UPL LTD,BAG,,45,BARAMATI,,UNKNOWN,UNKNOWN,System
141,UPL LTD,BAG,,60,SANGOLA,,UNKNOWN,UNKNOWN,System
142,UPL LTD,BAG,,60,MANGALWEDHA,,UNKNOWN,UNKNOWN,System
143,UPL LTD,BAG,,45,PANDHARPUR,,UNKNOWN,UNKNOWN,System
144,UPL LTD,BAG,,60,MAHUD,,UNKNOWN,UNKNOWN,System
145,UPL LTD,BAG,,45,PHALTAN,,UNKNOWN,UNKNOWN,System
146,UPL LTD,BAG,,50,SOLAPUR,,UNKNOWN,UNKNOWN,System
147,UPL LTD,BAG,,60,SOLAPUR,,UNKNOWN,UNKNOWN,System
148,UPL LTD,BOX,,50,SASWAD,,UNKNOWN,UNKNOWN,System
149,UPL LTD,BAG,,60,NIRA,,UNKNOWN,UNKNOWN,System
150,UPL LTD,BAG,,60,AKLUJ,,UNKNOWN,UNKNOWN,System
151,RAJTILAK TRADLINK,BOX,,20,SOLAPUR,,UNKNOWN,UNKNOWN,System
152,RAJTILAK TRADLINK,BOX,,15,BARAMATI,,UNKNOWN,UNKNOWN,System
153,RAJTILAK TRADLINK,BOX,,20,KAMBLISHWAR,,UNKNOWN,UNKNOWN,System
154,AVIOR MARKETING ,PEN BOX,,80,LONAND,,UNKNOWN,UNKNOWN,System
155,AVIOR MARKETING ,PEN BOX,,80,AKLUJ,,UNKNOWN,UNKNOWN,System
156,AVIOR MARKETING ,PEN BOX,,80,KEDGAON,,UNKNOWN,UNKNOWN,System
157,AVIOR MARKETING ,PEN BOX,,80,MANGALWEDHA,,UNKNOWN,UNKNOWN,System
158,AVIOR MARKETING ,PEN BOX,,80,BARAMATI,,UNKNOWN,UNKNOWN,System
159,AVIOR MARKETING ,PEN BOX,,80,PHALTAN,,UNKNOWN,UNKNOWN,System
160,AVIOR MARKETING ,PEN BOX,,80,SADASHIV NAGAR,,UNKNOWN,UNKNOWN,System
161,AVIOR MARKETING ,PEN BOX,,80,TEMBHURNI,,UNKNOWN,UNKNOWN,System
162,PROVIMI ANIMAL NUTRITION INDIA PVT.LTD.,MEDICINE BOX,,30,BARAMATI,,UNKNOWN,UNKNOWN,System
163,PROVIMI ANIMAL NUTRITION INDIA PVT.LTD.,MEDICINE BOX,,30,SANGAVI,300,UNKNOWN,UNKNOWN,System
164,VANDIT TRADELINK,MEDICINE BOX,,20,NATEPUTE,,UNKNOWN,UNKNOWN,System
165,NAVANDAR LOGISTICS,MEDICINE BOX,,19,LONAND,,UNKNOWN,UNKNOWN,System
166,APOLLO TYRES LTD,Abc,,50,PUNE,40,UNKNOWN,UNKNOWN,System
167,VAILANKANNI TRANSPORT SERVICE,CAR TYRE,,30,INDAPUR,,UNKNOWN,UNKNOWN,System
168,VAILANKANNI TRANSPORT SERVICE,CAR TYRE,,30,NIRA,,UNKNOWN,UNKNOWN,System
169,VAILANKANNI TRANSPORT SERVICE,CAR TYRE,,30,BARAMATI,,UNKNOWN,UNKNOWN,System
170,VAILANKANNI TRANSPORT SERVICE,CAR TYRE,,30,AKLUJ,,UNKNOWN,UNKNOWN,System
171,VAILANKANNI TRANSPORT SERVICE,CAR TYRE,,30,PHALTAN,,UNKNOWN,UNKNOWN,System
172,VAILANKANNI TRANSPORT SERVICE,CAR TYRE,,30,SANGOLA,,UNKNOWN,UNKNOWN,System
173,VAILANKANNI TRANSPORT SERVICE,CAR TYRE,,30,MAHUD,,UNKNOWN,UNKNOWN,System
174,VAILANKANNI TRANSPORT SERVICE,CAR TYRE,,40,SOLAPUR,,UNKNOWN,UNKNOWN,System
175,VAILANKANNI TRANSPORT SERVICE,CAR TYRE,,30,DAUND,,UNKNOWN,UNKNOWN,System
176,INDIAN IMMUNOLOGICALS LIMITED,MEDICINE BOX,,30,BARAMATI,,UNKNOWN,UNKNOWN,System
177,INDIAN IMMUNOLOGICALS LIMITED,MEDICINE BOX,,30,KARJAT,350,UNKNOWN,UNKNOWN,System
178,INDIAN IMMUNOLOGICALS LIMITED,MEDICINE BOX,,30,AKLUJ,,UNKNOWN,UNKNOWN,System
179,INDIAN IMMUNOLOGICALS LIMITED,VACSINE BOX,,100,BARAMATI,,UNKNOWN,UNKNOWN,System
180,INDIAN IMMUNOLOGICALS LIMITED,MEDICINE BOX,,30,TEMBHURNI,,UNKNOWN,UNKNOWN,System
181,PROVIMI ANIMAL NUTRITION INDIA PVT.LTD.,MEDICINE BOX,,36,AKLUJ,,UNKNOWN,UNKNOWN,System
182,PROVIMI ANIMAL NUTRITION INDIA PVT.LTD.,MEDICINE BOX,,30,BARAMATI,,UNKNOWN,UNKNOWN,System
183,APOLLO TYRES LTD,155/80D12 TYRE,,40,BHIGWAN,,UNKNOWN,UNKNOWN,System
184,CIAN HEALTHCARE PVT LTD,PEN BOX,,65,KASHTI,,UNKNOWN,UNKNOWN,System
185,CIAN HEALTHCARE PVT LTD,PEN BOX,,65,NIRA,,UNKNOWN,UNKNOWN,System
186,INDOCO REMEDIES LTD,MEDICINE BOX,,11,PANDHARPUR,,UNKNOWN,UNKNOWN,System
187,INDOCO REMEDIES LTD,MEDICINE BOX,,11,KEDGAON,,UNKNOWN,UNKNOWN,System
188,INDOCO REMEDIES LTD,MEDICINE BOX,,11,AKLUJ,,UNKNOWN,UNKNOWN,System
189,INDOCO REMEDIES LTD,MEDICINE BOX,,11,BARAMATI,,UNKNOWN,UNKNOWN,System
190,INDOCO REMEDIES LTD,MEDICINE BOX,,11,SOLAPUR,,UNKNOWN,UNKNOWN,System
191,INDOCO REMEDIES LTD,MEDICINE BOX,,11,PHALTAN,,UNKNOWN,UNKNOWN,System
192,NIPPON PAINT (INDIA) PRIVATE LTD,COLOUR BOX,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
193,NIPPON PAINT (INDIA) PRIVATE LTD,COLOUR BUCKET,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
194,NIPPON PAINT (INDIA) PRIVATE LTD,COLOUR BOX,,40,PHALTAN,,UNKNOWN,UNKNOWN,System
195,NIPPON PAINT (INDIA) PRIVATE LTD,COLOUR BUCKET,,40,PHALTAN,,UNKNOWN,UNKNOWN,System
196,NIPPON PAINT (INDIA) PRIVATE LTD,COLOUR BOX,,50,PANDHARPUR,,UNKNOWN,UNKNOWN,System
197,NIPPON PAINT (INDIA) PRIVATE LTD,COLOUR BUCKET,,50,PANDHARPUR,,UNKNOWN,UNKNOWN,System
198,NIPPON PAINT (INDIA) PRIVATE LTD,COLOUR BOX,,40,JEJURI,350,UNKNOWN,UNKNOWN,System
199,NIPPON PAINT (INDIA) PRIVATE LTD,COLOUR BUCKET,,40,JEJURI,350,UNKNOWN,UNKNOWN,System
200,FRANCO INDIAN PHARMACEUTICALS PVT LTD,MEDICINE BOX,,22,KEDGAON,,UNKNOWN,UNKNOWN,System
201,VANDIT TRADELINK,MEDICINE BOX,,20,AKLUJ,,UNKNOWN,UNKNOWN,System
202,WELLNESS INDIA ,MEDICINE BOX,,20,LONAND,,UNKNOWN,UNKNOWN,System
203,WELLNESS INDIA ,MEDICINE BOX,,30,KARJAT,,UNKNOWN,UNKNOWN,System
204,WELLNESS INDIA ,MEDICINE BOX,,20,URULI KANCHAN,,UNKNOWN,UNKNOWN,System
205,WOCKHARDT LTD,MEDICINE BOX,,16,BARAMATI,,UNKNOWN,UNKNOWN,System
206,WOCKHARDT LTD,MEDICINE BOX,,16,KEDGAON,,UNKNOWN,UNKNOWN,System
207,WOCKHARDT LTD,MEDICINE BOX,,16,PHALTAN,,UNKNOWN,UNKNOWN,System
208,CENTER PHARMA,MEDICINE BOX,,12,RASHIN,,UNKNOWN,UNKNOWN,System
209,UNIQUE HOME APPLIANCES LLP,SHEGDI BOX,,80,MORGOAN,,UNKNOWN,UNKNOWN,System
210,UNIQUE HOME APPLIANCES LLP,SHEGDI BOX,,90,NIMGAON KETKI,,UNKNOWN,UNKNOWN,System
211,UNIQUE HOME APPLIANCES LLP,SHEGDI BOX,,90,RASHIN,,UNKNOWN,UNKNOWN,System
212,UNIQUE HOME APPLIANCES LLP,SHEGDI BOX,,90,PHALTAN,,UNKNOWN,UNKNOWN,System
213,CIPLA LTD ,MEDICINE BOX,,15,BARAMATI,,UNKNOWN,UNKNOWN,System
214,CIPLA LTD ,MEDICINE BOX,,15,KEDGAON,,UNKNOWN,UNKNOWN,System
215,CIPLA LTD ,MEDICINE BOX,,50,SANGOLA,,UNKNOWN,UNKNOWN,System
216,INDIAN IMMUNOLOGICALS LIMITED,MEDICINE BOX,,30,PHALTAN,,UNKNOWN,UNKNOWN,System
217,INDIAN IMMUNOLOGICALS LIMITED,MEDICINE BOX,,30,SANGAVI,350,UNKNOWN,UNKNOWN,System
218,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,AKLUJ,,UNKNOWN,UNKNOWN,System
219,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,KHUTBAV,350,UNKNOWN,UNKNOWN,System
220,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,SASWAD,350,UNKNOWN,UNKNOWN,System
221,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,BARAMATI,,UNKNOWN,UNKNOWN,System
222,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,JUNONI,350,UNKNOWN,UNKNOWN,System
223,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,SANGAVI,350,UNKNOWN,UNKNOWN,System
224,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,PHALTAN,,UNKNOWN,UNKNOWN,System
225,NATURAL REMEDIES PVT LTD,MEDCINE BOX,,30,LONAND,350,UNKNOWN,UNKNOWN,System
226,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,JALOCHI,,UNKNOWN,UNKNOWN,System
227,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,VAKHARI,350,UNKNOWN,UNKNOWN,System
228,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,KASARBAWADI,350,UNKNOWN,UNKNOWN,System
229,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,PIMPALI,200,UNKNOWN,UNKNOWN,System
230,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,MORGOAN,350,UNKNOWN,UNKNOWN,System
231,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,GULUNCHE,350,UNKNOWN,UNKNOWN,System
232,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,KHADKI,350,UNKNOWN,UNKNOWN,System
233,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,45,SOLAPUR,,UNKNOWN,UNKNOWN,System
234,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,KASARWADI,350,UNKNOWN,UNKNOWN,System
235,NATURAL REMEDIES PVT LTD,MEDICINE BOX,,30,BARAD,500,UNKNOWN,UNKNOWN,System
236,KEMIN INDUSTRIES,MEDICINE BOX,,30,WAKI,350,UNKNOWN,UNKNOWN,System
237,KEMIN INDUSTRIES,MEDICINE BOX,,30,AKLUJ,350,UNKNOWN,UNKNOWN,System
238,KEMIN INDUSTRIES,BAG,,30,WAKI,350,UNKNOWN,UNKNOWN,System
239,KEMIN INDUSTRIES,BAG,,30,AKLUJ,350,UNKNOWN,UNKNOWN,System
240,FDC LIMITED,MEDICINE BOX,,12,KEDGOAN,,UNKNOWN,UNKNOWN,System
241,MACLEODS PHARMACEUTICALS LTD,MEDICINE BOX,,25,URULI KANCHAN,,UNKNOWN,UNKNOWN,System
242,NAVANDAR LOGISTICS,MEDICINE BOX,,19,BARAMATI,,UNKNOWN,UNKNOWN,System
